id,created_ts,updated_ts,time_zone,app_first_open_ts,gender,min_range_glucose,max_range_glucose,unit_glucose
68cda2d25ad5d66cfcda3ba7614dbb6aff137025,2019-11-03 05:23:54.488,2019-11-03 05:25:31.961,Local Time Zone (Asia/Kolkata (IST) offset 19800),2019-11-03 05:25:09.076,,70,130,mg/dL
39b604fc156a83442bed022729011a4a67187f09,2019-11-18 14:43:06.132,2019-11-18 14:53:15.407,America/Chicago (autoupdatingCurrent),2019-11-18 14:43:10.347,,70,130,
fcce215fe55a164fb3d3c57e89e08496796bc037,2019-12-01 06:12:56.044,2019-12-01 06:16:05.387,Local Time Zone (Asia/Kolkata (IST) offset 19800),2019-12-01 06:15:26.661,,70,130,mg/dL
40a4e9c4e5d6329b85878e9ad093a1d1aeb95eda,2019-10-07 01:47:42.241,2019-10-07 15:32:08.223,Local Time Zone (America/Chicago (CDT) offset -18000 (Daylight)),2019-10-07 01:47:43.513,,70,130,
548de46f7bdb438ac458bbd6a3ae3b57c2134423,2019-11-21 22:49:02.844,2019-11-21 22:53:54.143,Local Time Zone (America/Mexico_City (GMT-06:00) offset -21600),2019-11-21 22:52:45.546,,,,
6dc8e9c23eff353838a3d1383ebde5ce6cb14090,2019-10-06 16:47:08.523,2019-10-06 17:56:38.551,Local Time Zone (America/Los_Angeles (PDT) offset -25200 (Daylight)),2019-10-06 17:56:38.449,,70,130,
d7a381a40b800f1485523b795a9db6aa1cac455d,2019-12-09 19:21:15.789,2019-12-09 23:53:15.662,Local Time Zone (America/Guayaquil (GMT-05:00) offset -18000),2019-12-09 23:51:22.055,,70,130,mg/dL
5475faa454fda250fedfcdb4a1f766b009dd46e6,2019-10-25 14:20:52.757,2019-10-30 14:22:40.625,America/Chicago (autoupdatingCurrent),2019-10-25 14:25:02.024,,70,130,
a711d2784a2cd948fb2e91c93268e180eb86932f,2019-10-30 07:08:06.600,2019-10-30 07:40:27.678,Local Time Zone (Asia/Kolkata (GMT+05:30) offset 19800),2019-10-30 07:09:45.339,,,,
461b61575bb9f75430dae1b0cda7e4fb9c487903,2019-12-16 07:00:01.520,2020-02-10 17:39:33.189,Local Time Zone (America/Mexico_City (CST) offset -21600),2019-12-16 07:05:12.664,,70,130,mg/dL
7b18b8d3cd01d8c734025f72c67c4d061ced0ab4,2019-11-03 04:33:05.501,2019-12-07 17:22:22.042,Local Time Zone (Asia/Kolkata (GMT+05:30) offset 19800),2019-11-03 04:36:15.176,,,,
